"AUC","Brier","model","EPV","P","rho","beta_pattern","sim"
0.705627368474274,0.24826289091958,"MLE",5,4,0,"equal",1
0.647871978552266,0.243219439505402,"MLE",5,4,0,"equal",2
0.730624672876919,0.218022581915009,"MLE",5,4,0,"equal",3
0.67673705675868,0.257328595334702,"MLE",5,4,0,"equal",4
0.705660479999999,0.217879312024838,"MLE",5,4,0,"equal",5
0.695162452326344,0.258659496239505,"MLE",5,4,0,"equal",6
0.700006163550205,0.237626308146185,"MLE",5,4,0,"equal",7
0.714376839275721,0.221662210962036,"MLE",5,4,0,"equal",8
0.687984687448749,0.230236900619336,"MLE",5,4,0,"equal",9
0.713900513900514,0.241727136955899,"MLE",5,4,0,"equal",10
0.735679897393386,0.237862872658839,"MLE",5,4,0,"strong",1
0.728972949158917,0.21142531311669,"MLE",5,4,0,"strong",2
0.735460860493431,0.211285562919458,"MLE",5,4,0,"strong",3
0.680743729754952,0.242329362676899,"MLE",5,4,0,"strong",4
0.655756396489461,0.280556009427445,"MLE",5,4,0,"strong",5
0.667729333233333,0.230494940466201,"MLE",5,4,0,"strong",6
0.725921007219105,0.217858294204976,"MLE",5,4,0,"strong",7
0.7284204655237,0.217005802411728,"MLE",5,4,0,"strong",8
0.665781866525101,0.258583072532839,"MLE",5,4,0,"strong",9
0.736981604483946,0.211751844951087,"MLE",5,4,0,"strong",10
0.585105875681047,0.298496361043201,"MLE",5,4,0,"noise",1
0.612618261299446,0.251262179082257,"MLE",5,4,0,"noise",2
0.615520260598816,0.252254954444469,"MLE",5,4,0,"noise",3
0.573145911461781,0.273326641836795,"MLE",5,4,0,"noise",4
0.634623875365626,0.259193742575914,"MLE",5,4,0,"noise",5
0.56571759229259,0.260927741994584,"MLE",5,4,0,"noise",6
0.611960474263076,0.274236057202911,"MLE",5,4,0,"noise",7
0.594131272630047,0.27042385443823,"MLE",5,4,0,"noise",8
0.615659630789978,0.254730718382619,"MLE",5,4,0,"noise",9
0.573742660394692,0.280445124741383,"MLE",5,4,0,"noise",10
0.593128969551836,0.258064803204085,"MLE",5,4,0,"halfnoise",1
0.566118219499802,0.283548537667115,"MLE",5,4,0,"halfnoise",2
0.550467161868647,0.277141967559425,"MLE",5,4,0,"halfnoise",3
0.607455418943213,0.270214202208555,"MLE",5,4,0,"halfnoise",4
0.531860038364735,0.304694705603596,"MLE",5,4,0,"halfnoise",5
0.58555467488681,0.274946294108426,"MLE",5,4,0,"halfnoise",6
0.59917699513056,0.286639391183204,"MLE",5,4,0,"halfnoise",7
0.501919063761365,0.270916736931411,"MLE",5,4,0,"halfnoise",8
0.588129890938344,0.252129138462772,"MLE",5,4,0,"halfnoise",9
0.580263583210542,0.284771206244987,"MLE",5,4,0,"halfnoise",10
0.81399164974348,0.182437629653799,"MLE",5,4,0.5,"equal",1
0.719758225565602,0.215973056041379,"MLE",5,4,0.5,"equal",2
0.821884212916578,0.172753263523862,"MLE",5,4,0.5,"equal",3
0.777949465981011,0.20514941060946,"MLE",5,4,0.5,"equal",4
0.811890245452557,0.182483425417677,"MLE",5,4,0.5,"equal",5
0.806283780316214,0.183929384968237,"MLE",5,4,0.5,"equal",6
0.821645240573459,0.178975603022557,"MLE",5,4,0.5,"equal",7
0.807149754396071,0.183192925631229,"MLE",5,4,0.5,"equal",8
0.748741390132498,0.210306399664069,"MLE",5,4,0.5,"equal",9
0.753882993882992,0.247253601533797,"MLE",5,4,0.5,"equal",10
0.783049338465791,0.194075005093068,"MLE",5,4,0.5,"strong",1
0.767079333704117,0.20115979045299,"MLE",5,4,0.5,"strong",2
0.77776021665387,0.196307927677264,"MLE",5,4,0.5,"strong",3
0.749693712943149,0.244123533958806,"MLE",5,4,0.5,"strong",4
0.752347628554345,0.203746197040426,"MLE",5,4,0.5,"strong",5
0.789134475916491,0.19208984301041,"MLE",5,4,0.5,"strong",6
0.757794639959179,0.207328937476809,"MLE",5,4,0.5,"strong",7
0.780243138203969,0.193572173129006,"MLE",5,4,0.5,"strong",8
0.772391452211768,0.194292264381704,"MLE",5,4,0.5,"strong",9
0.770569001941227,0.210642004979354,"MLE",5,4,0.5,"strong",10
0.597504897544079,0.276730459303735,"MLE",5,4,0.5,"noise",1
0.662246454539579,0.24261796272845,"MLE",5,4,0.5,"noise",2
0.677433994265717,0.264627995367577,"MLE",5,4,0.5,"noise",3
0.6517279775513,0.235020089378736,"MLE",5,4,0.5,"noise",4
0.683772140193396,0.230412524017702,"MLE",5,4,0.5,"noise",5
0.542604454018915,0.268067606063168,"MLE",5,4,0.5,"noise",6
0.599845796761285,0.255303140951132,"MLE",5,4,0.5,"noise",7
0.599243367253329,0.298989263938209,"MLE",5,4,0.5,"noise",8
0.628260120136309,0.249799455432619,"MLE",5,4,0.5,"noise",9
0.665078573243204,0.250794928027181,"MLE",5,4,0.5,"noise",10
0.593607773884949,0.272630059277183,"MLE",5,4,0.5,"halfnoise",1
0.606148344395869,0.290019852783421,"MLE",5,4,0.5,"halfnoise",2
0.580667287286268,0.262821299080627,"MLE",5,4,0.5,"halfnoise",3
0.580468143218726,0.288168068158538,"MLE",5,4,0.5,"halfnoise",4
0.505107433815871,0.275009225910124,"MLE",5,4,0.5,"halfnoise",5
0.547801101337374,0.268958886743976,"MLE",5,4,0.5,"halfnoise",6
0.564001717849054,0.293157290873764,"MLE",5,4,0.5,"halfnoise",7
0.634041633019949,0.242264790342093,"MLE",5,4,0.5,"halfnoise",8
0.564039670747253,0.255066663432134,"MLE",5,4,0.5,"halfnoise",9
0.632201549539156,0.249736139551437,"MLE",5,4,0.5,"halfnoise",10
0.724003654264703,0.221750812782297,"MLE",5,8,0,"equal",1
0.766209170070844,0.203559539737882,"MLE",5,8,0,"equal",2
0.785023961738021,0.20230932964886,"MLE",5,8,0,"equal",3
0.774087835394519,0.200348751860202,"MLE",5,8,0,"equal",4
0.773220358428488,0.206252801079837,"MLE",5,8,0,"equal",5
0.725341995897341,0.220674733181122,"MLE",5,8,0,"equal",6
0.731965657981793,0.216545254691522,"MLE",5,8,0,"equal",7
0.732419405579846,0.219147983492985,"MLE",5,8,0,"equal",8
0.750628282513129,0.218714817428793,"MLE",5,8,0,"equal",9
0.778255472036067,0.197350897997802,"MLE",5,8,0,"equal",10
0.724741658013567,0.223771597234509,"MLE",5,8,0,"strong",1
0.749193430478098,0.207514538209999,"MLE",5,8,0,"strong",2
0.748060129776452,0.211527449685145,"MLE",5,8,0,"strong",3
0.734945974246643,0.221790290587722,"MLE",5,8,0,"strong",4
0.725951337671589,0.23848372999579,"MLE",5,8,0,"strong",5
0.754838654951169,0.205206705761597,"MLE",5,8,0,"strong",6
0.724109642160028,0.215931355015027,"MLE",5,8,0,"strong",7
0.684679404679405,0.243005609230485,"MLE",5,8,0,"strong",8
0.749604736703347,0.213308387768099,"MLE",5,8,0,"strong",9
0.728335214184192,0.210628484218756,"MLE",5,8,0,"strong",10
0.642002848011391,0.23438569813446,"MLE",5,8,0,"noise",1
0.638252265450847,0.257988248098465,"MLE",5,8,0,"noise",2
0.648939680457125,0.235399763470154,"MLE",5,8,0,"noise",3
0.627271681426266,0.265503287224918,"MLE",5,8,0,"noise",4
0.67389989374262,0.234368366182977,"MLE",5,8,0,"noise",5
0.668864999139967,0.247313707808943,"MLE",5,8,0,"noise",6
0.656283460535366,0.241567281307061,"MLE",5,8,0,"noise",7
0.655451061592462,0.254606121358847,"MLE",5,8,0,"noise",8
0.628587234893958,0.251944460497706,"MLE",5,8,0,"noise",9
0.666294146651765,0.236522220457654,"MLE",5,8,0,"noise",10
0.634079849076382,0.247867496012389,"MLE",5,8,0,"halfnoise",1
0.615646560191583,0.270349651298856,"MLE",5,8,0,"halfnoise",2
0.582947673200645,0.255738136832775,"MLE",5,8,0,"halfnoise",3
0.596960086254579,0.300416929326875,"MLE",5,8,0,"halfnoise",4
0.640185862429739,0.247391876947098,"MLE",5,8,0,"halfnoise",5
0.513672038750945,0.264236582221367,"MLE",5,8,0,"halfnoise",6
0.623356304458919,0.240001122358894,"MLE",5,8,0,"halfnoise",7
0.589756423910601,0.265855891867805,"MLE",5,8,0,"halfnoise",8
0.625756561936798,0.254897709514993,"MLE",5,8,0,"halfnoise",9
0.613352572910821,0.289999782170169,"MLE",5,8,0,"halfnoise",10
0.88925419659462,0.135824505022086,"MLE",5,8,0.5,"equal",1
0.883340076272216,0.142010605591295,"MLE",5,8,0.5,"equal",2
0.884675027373268,0.152178143818925,"MLE",5,8,0.5,"equal",3
0.907065058890791,0.124132616617192,"MLE",5,8,0.5,"equal",4
0.886286385239471,0.138766982902987,"MLE",5,8,0.5,"equal",5
0.891037388779075,0.152853248668236,"MLE",5,8,0.5,"equal",6
0.904267028645222,0.132017888950566,"MLE",5,8,0.5,"equal",7
0.877420041548831,0.155543738885808,"MLE",5,8,0.5,"equal",8
0.879299016087697,0.14724456282553,"MLE",5,8,0.5,"equal",9
0.897096467411682,0.130684764495687,"MLE",5,8,0.5,"equal",10
0.825500657180235,0.194922055530592,"MLE",5,8,0.5,"strong",1
0.781039969111999,0.205551832661733,"MLE",5,8,0.5,"strong",2
0.841753328432915,0.169052731540191,"MLE",5,8,0.5,"strong",3
0.81982795831572,0.182398538115486,"MLE",5,8,0.5,"strong",4
0.816324364759342,0.177892898232463,"MLE",5,8,0.5,"strong",5
0.845643803633239,0.17017236083813,"MLE",5,8,0.5,"strong",6
0.823270096144984,0.1761205393235,"MLE",5,8,0.5,"strong",7
0.822916451648464,0.180420282006782,"MLE",5,8,0.5,"strong",8
