"AUC","Brier","EPV","P","rho","beta_pattern","sim","model","lambda"
0.667909685647742,1.203311512,5,4,0,"equal",1,"Random Forest",NA
0.597263179785879,1.3596257804,5,4,0,"equal",2,"Random Forest",NA
0.674877402578199,1.116493758,5,4,0,"equal",3,"Random Forest",NA
0.624915881766495,1.2997196472,5,4,0,"equal",4,"Random Forest",NA
0.680423414596523,1.102321482,5,4,0,"equal",5,"Random Forest",NA
0.657914008733255,1.4657053968,5,4,0,"equal",6,"Random Forest",NA
0.688587149630813,0.9626644084,5,4,0,"equal",7,"Random Forest",NA
0.554414425214547,1.3504803608,5,4,0,"equal",8,"Random Forest",NA
0.661576525852244,1.0775112004,5,4,0,"equal",9,"Random Forest",NA
0.634105923640379,1.0683261984,5,4,0,"equal",10,"Random Forest",NA
0.599296054197899,1.4573304172,5,4,0,"strong",1,"Random Forest",NA
0.64178024567121,1.1234095716,5,4,0,"strong",2,"Random Forest",NA
0.613694243248189,1.0074267904,5,4,0,"strong",3,"Random Forest",NA
0.61188857186308,1.3914890556,5,4,0,"strong",4,"Random Forest",NA
0.636045232160613,1.1673300892,5,4,0,"strong",5,"Random Forest",NA
0.627596866367646,1.3709904996,5,4,0,"strong",6,"Random Forest",NA
0.660114333042249,1.2954027248,5,4,0,"strong",7,"Random Forest",NA
0.590038951908644,1.1588795352,5,4,0,"strong",8,"Random Forest",NA
0.640959495351926,1.3424862764,5,4,0,"strong",9,"Random Forest",NA
0.71240038857136,1.2691401328,5,4,0,"strong",10,"Random Forest",NA
0.608541167482029,1.1892956896,5,4,0,"noise",1,"Random Forest",NA
0.57632071932259,1.4067160724,5,4,0,"noise",2,"Random Forest",NA
0.548087622235064,1.524870816,5,4,0,"noise",3,"Random Forest",NA
0.579726675809314,1.1202680332,5,4,0,"noise",4,"Random Forest",NA
0.522873496369502,1.1499613996,5,4,0,"noise",5,"Random Forest",NA
0.592305054768809,1.2804207628,5,4,0,"noise",6,"Random Forest",NA
0.564849324849325,1.3032121024,5,4,0,"noise",7,"Random Forest",NA
