"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim"
0.170061125743697,0.137542240625754,0.236391512,5,4,0,"equal",1
0.252171750050832,0.206017248574415,0.2708053804,5,4,0,"equal",2
0.159961010462133,0.129460336044223,0.233294158,5,4,0,"equal",3
0.196044799006172,0.157794237001658,0.2493076472,5,4,0,"equal",4
0.161538622671605,0.128551872243317,0.233503482,5,4,0,"equal",5
0.208458350464324,0.170732254292915,0.2488173968,5,4,0,"equal",6
0.198947914227836,0.164571435444679,0.2454944084,5,4,0,"equal",7
0.241498770144349,0.193782368289994,0.2684851608,5,4,0,"equal",8
0.183347277595584,0.143589299163519,0.2424876004,5,4,0,"equal",9
0.202545873829842,0.156096182736187,0.2482717984,5,4,0,"equal",10
0.258026520646942,0.212075419988638,0.2731436172,5,4,0,"strong",1
0.244025194626373,0.196567481709687,0.2621203716,5,4,0,"strong",2
0.257298730376604,0.215849160686482,0.2700315904,5,4,0,"strong",3
0.216997793075095,0.180833059405392,0.2543366556,5,4,0,"strong",4
0.212845714113238,0.176327132135286,0.2520048892,5,4,0,"strong",5
0.224686863438457,0.186822574650121,0.2528668996,5,4,0,"strong",6
0.186242035167782,0.150232651009659,0.2374563248,5,4,0,"strong",7
0.2410555139059,0.19464403599713,0.2602443352,5,4,0,"strong",8
0.226468078037071,0.18794701595178,0.2541594764,5,4,0,"strong",9
0.132610124221675,0.107660799684937,0.2200089328,5,4,0,"strong",10
0.178962040795443,0.152159590865254,0.2668532896,5,4,0,"noise",1
0.165963151175856,0.136808423018502,0.2637580724,5,4,0,"noise",2
0.252196103819008,0.221262541063063,0.301115616,5,4,0,"noise",3
0.191546961091917,0.157175490145618,0.2734620332,5,4,0,"noise",4
0.220329173736635,0.1849608540619,0.2832257996,5,4,0,"noise",5
0.168501506487067,0.139408560730728,0.2646139628,5,4,0,"noise",6
0.18106272656228,0.145008742931422,0.2678641024,5,4,0,"noise",7
0.153546275453802,0.126260108875681,0.2581796432,5,4,0,"noise",8
0.175056782800624,0.145155731544088,0.2653725024,5,4,0,"noise",9
0.171988895832455,0.139904011128846,0.2655189284,5,4,0,"noise",10
0.183742795644227,0.15098107746185,0.271091326,5,4,0,"halfnoise",1
0.229917995405196,0.197401713913666,0.2942282736,5,4,0,"halfnoise",2
0.271299311835651,0.22925736744986,0.3157794136,5,4,0,"halfnoise",3
0.281621355823447,0.243013507753095,0.3238739828,5,4,0,"halfnoise",4
0.21378385716984,0.176507649952407,0.2864790644,5,4,0,"halfnoise",5
0.165752614945542,0.132722578676451,0.2680578644,5,4,0,"halfnoise",6
0.161872711802129,0.129557627981397,0.2680435936,5,4,0,"halfnoise",7
0.200700787412984,0.166699757513479,0.2764552416,5,4,0,"halfnoise",8
0.163929633055915,0.137314272689083,0.2666605816,5,4,0,"halfnoise",9
0.166076291580685,0.134936932123312,0.267881692,5,4,0,"halfnoise",10
0.236799502456639,0.17323355898957,0.2270348976,5,4,0.5,"equal",1
0.145466348506548,0.108334427698987,0.1929816396,5,4,0.5,"equal",2
0.17887311495281,0.136450338856036,0.212588356,5,4,0.5,"equal",3
0.143151683305565,0.113120555808271,0.1914623028,5,4,0.5,"equal",4
0.200535911929026,0.163302651496385,0.2135474272,5,4,0.5,"equal",5
0.20797050400416,0.165367317090667,0.2150739304,5,4,0.5,"equal",6
0.174550426822404,0.134845387540781,0.201519124,5,4,0.5,"equal",7
0.137151276988496,0.102206859137014,0.1911443168,5,4,0.5,"equal",8
0.170705544474991,0.139313257800099,0.2025478044,5,4,0.5,"equal",9
